Filename	Segment	posemo	negemo	reward	risk	focuspast	focuspresent	focusfuture
allText233.txt	1	5,46	1,09	1,64	0,00	0,55	13,11	2,73
allText234.txt	1	6,03	0,32	2,22	0,32	3,49	12,38	2,54
allText235.txt	1	4,51	0,24	2,61	0,36	2,97	13,76	1,54
allText236.txt	1	1,75	0,75	2,24	0,25	2,24	12,47	1,25
allText237.txt	1	7,10	0,55	2,19	0,55	1,64	12,57	5,46
allText238.txt	1	3,34	0,24	1,19	0,00	3,82	12,89	3,10
allText239.txt	1	1,61	0,20	0,81	0,20	0,40	4,23	2,42
allText24.txt	1	3,79	0,76	3,79	1,14	0,38	12,88	3,41
allText240.txt	1	4,61	0,00	0,00	0,00	0,00	6,58	1,32
allText241.txt	1	1,98	1,10	0,44	0,44	1,54	8,37	0,77
allText242.txt	1	2,14	0,71	1,43	0,71	1,43	10,71	2,86
allText243.txt	1	7,57	1,31	2,35	0,52	2,61	10,18	1,04
allText244.txt	1	2,81	0,47	0,47	0,23	0,94	6,09	2,81
allText245.txt	1	3,06	0,70	1,31	0,17	4,11	6,99	1,22
allText246.txt	1	4,72	0,73	1,73	0,30	2,63	11,40	1,56
allText247.txt	1	4,09	0,63	1,57	0,94	1,26	13,21	1,57
allText248.txt	1	3,65	0,11	1,11	0,22	1,44	7,52	0,66
allText249.txt	1	1,69	0,34	0,00	0,34	2,03	12,84	1,01
allText25.txt	1	2,02	0,21	0,84	0,04	0,55	6,32	1,01
allText250.txt	1	5,03	0,21	1,05	0,00	0,84	5,66	2,10
allText251.txt	1	4,81	0,37	2,59	1,85	1,11	7,04	1,48
allText252.txt	1	5,13	1,28	1,28	1,92	0,64	7,69	0,64
allText253.txt	1	2,18	0,73	0,73	1,09	2,91	4,73	1,09
allText254.txt	1	4,63	1,12	0,70	0,70	2,38	10,24	2,24
allText255.txt	1	5,41	1,35	4,05	1,35	1,35	13,51	1,35
allText256.txt	1	6,70	0,19	2,70	0,19	1,77	9,67	1,40
allText257.txt	1	6,25	1,30	1,30	0,78	3,39	7,55	1,30
allText258.txt	1	5,79	0,55	1,93	0,28	3,31	10,19	1,65
allText259.txt	1	4,50	0,82	1,36	0,27	5,31	9,67	0,82
allText26.txt	1	4,01	1,72	2,67	0,95	3,44	14,69	2,86
allText260.txt	1	7,72	0,41	4,47	0,41	2,44	11,79	2,85
allText261.txt	1	2,51	0,50	2,68	0,67	1,67	8,70	5,02
allText262.txt	1	1,80	1,04	0,83	0,14	1,73	2,77	0,83
allText263.txt	1	2,23	0,00	3,35	0,00	0,56	10,06	3,35
