0.03333333333333333 3000 0 30 145 60.24665441176471 0,68 0,68 0,68 1,36 5,44 11,56 0,00
15.333333333333332 4500 41 28 1423 65.59869553893664 2,44 0,28 1,32 0,28 3,34 10,52 2,51
0.0 5000 0 60 201 49.69076470588237 8,87 0,99 4,43 0,99 1,97 12,32 0,49
6.888888888888889 450 0 30 46 38.19869565217394 8,70 6,52 6,52 6,52 2,17 10,87 4,35
0.4888888888888889 9000 0 30 359 52.85645442792506 5,79 1,10 1,93 0,55 3,86 7,99 1,65
60.0 500 3 35 584 50.37792067307694 3,97 0,33 1,49 0,50 0,83 8,94 1,49
0.5333333333333333 15000 3 45 412 57.614114832535904 4,35 0,97 1,69 0,72 0,97 10,87 3,86
1.3 1000 0 30 206 69.94321996097018 5,34 0,97 0,00 0,97 2,43 15,53 3,40
0.02 5000 0 60 153 45.51928571428573 1,96 0,65 3,27 0,65 2,61 12,42 1,31
2.1999999999999997 500 1 30 94 47.01368421052632 3,19 2,13 4,26 2,13 3,19 9,57 2,13
39.75 1200 0 32 196 41.447 3,52 1,51 0,50 1,01 0,50 8,04 1,51
2.5 1000 0 30 131 37.00488240064885 1,48 1,48 0,00 1,48 5,19 6,67 2,22
0.0 1000 5 30 497 43.054670881971475 5,69 2,16 0,98 0,59 2,16 8,82 1,76
0.02 5000 0 30 382 57.76363386613389 5,05 0,53 1,60 0,53 1,33 14,63 2,39
5.800000000000001 1000 6 40 315 54.420138888888886 3,48 0,63 0,95 0,63 3,80 9,18 4,11
3.1428571428571432 350 0 60 155 45.88750000000002 2,50 1,25 3,12 2,50 2,50 5,62 4,38
8.0 1500 1 30 316 37.48132911392409 4,11 0,63 1,58 0,63 1,90 7,91 2,53
8.099062918340026 2988 0 30 331 66.83421052631581 6,74 0,29 2,05 0,29 2,35 9,97 1,47
6.0 1500 0 30 230 43.464366108786635 2,13 0,85 2,98 0,43 2,13 11,49 1,70
2.5 1000 0 30 191 31.844166666666695 4,19 1,05 1,05 1,05 0,00 7,33 2,62
0.0 2000 1 14 120 46.7903506097561 7,38 0,82 1,64 1,64 1,64 9,02 3,28
0.026595744680851064 94000 6 35 579 35.69667667238423 2,74 0,34 0,69 0,69 2,06 4,63 1,54
0.028571428571428574 3500 2 25 471 59.48791647295835 4,02 0,85 1,90 0,63 2,33 12,68 2,96
3.4799999999999995 2500 7 14 314 59.1504485852312 7,91 0,32 4,11 0,63 1,90 8,23 2,53
